name,brand,category,description,unit,quantity,servings,flavors,benefits,allergens,certifications,dosage,priceRetail,pricePurchase,priceWholesale,priceSlashed,stock,featured,metaTitle,metaDescription
Behemoth Pre-Workout - 500g,Real Pharm,pre-workout,"Behemoth Pre-Workout de Real Pharm est le booster pré-entraînement ultime pour décupler votre énergie, votre focus mental et votre endurance pendant vos séances de musculation. Conçu pour les athlètes sérieux en Tunisie, ce pre-workout vous permet de repousser vos limites et d'atteindre vos objec...",gramme,500.0,50,Multiples (non spécifiées dans sources),"Énergie explosive immédiate caféine 300mg, Concentration focus maximum Tyrosine, Pump vasculaire intense Citrulline 2g, Endurance augmentée Bêta-alanine tampon lactate, Réduction fatigue sensorielle Taurine, Antioxydants protection Thé Vert, Support fonction neuromusculaire Vitamines B","AUCUN allergène principal. Traces possibles: gluten soja (atelier). Non recommandé: femmes enceintes/allaitantes, sensibilité caféine, hypertension cardiovasculaire, enfants < 18 ans, personnes anxiété/insomnie.","Real Pharm qualité européenne, Composition formulée haute performance, Caféine 300mg declare transparence","10-20g (1-2 dosettes) dans 200ml eau, 30min AVANT training. Commencer 10g tester tolérance. Maximum 20g/jour ne pas dépasser.",,,,,10,False,Behemoth Pre-Workout - 500g | Real Pharm | Pre-Workout Tu...,Behemoth Pre-Workout: performances explosives garanties. Ingrédients premium dosage optimal. Expédition rapide en Tunisie. certifié. Commandez dès maintenant!
Real Viking - 360g,Real Pharm,pre-workout,"Real Viking de Real Pharm est le booster pré-entraînement ultime pour décupler votre énergie, votre focus mental et votre endurance pendant vos séances de musculation. Conçu pour les athlètes sérieux en Tunisie, ce pre-workout vous permet de repousser vos limites et d'atteindre vos objectifs plus...",gramme,360.0,30,Maracuja,"AAKG circulation production NO maximale, 20 ingrédients énergie multisource complète, Pump vasculaire intense congestion musculaire, Caféine naturelle guarana énergie sans crash, Antioxydants flavonoides cacao protection cellulaire, Thermogenèse orange amère dépense énergétique, Focus mental concentration entraînement","Contient: Synéphrine (orange amère) attention cardiopathies. Traces possibles: gluten soja. Non recommandé: femmes enceintes/allaitantes, hypertension grave, personnes cardiopathie, enfants < 18 ans, athlètes tests antidopage.","Real Pharm qualité européenne, AAKG circulation validée, 20+ ingrédients actifs déclaré","6-12g dans 200-250ml eau, 15-20min AVANT training. Commencer 6g tester tolérance avant augmenter 12g. Maximum 12g/jour ne pas dépasser.",,,,,10,False,Real Viking - 360g | Real Pharm | Pre-Workout Tunisie | D...,Real Viking: énergie maximale et concentration intense. Pre-workout nouvelle génération. Livraison 24h en Tunisie. garanti. Commander dès maintenant!
Testobooster Gold Edition - 180 Capsules,Real Pharm,sante-bien-etre,"Testobooster Gold Edition de Real Pharm est un complément de nutrition sportive de haute qualité conçu pour vous aider à atteindre vos objectifs fitness. Que vous soyez débutant ou athlète confirmé en Tunisie, ce produit vous apporte les nutriments essentiels pour performer et progresser. 🎯 Bénéf...",gélule,180.0,30,Sans saveur (gélule gélatine),"DAA augmente testostérone 40% études, Tribulus libido force performance, Fenugrec balance hormonale anabolisme, Maca énergie vitalité sexuelle, Zinc testostérone immunité, Magnésium récupération musculaire, Ginseng tonique énergisant stress, Ashwagandha réduit cortisol, Formule complète 10 ingrédients synergie","CONTIENT: Gélatine. Traces possibles: GLUTEN, SOJA, LAIT. Non recommandé femmes enceintes/allaitantes, enfants < 18 ans, personnes pathologies hormonales graves, athlètes tests anti-dopage.","Real Pharm qualité européenne, Composition Gold Edition ingrédients premium",1 à 6 gélules/jour avec repas. Minimum 1-2 gélules/jour maintenance. Maximum 6 gélules/jour intensif. Cure minimum 4-6 semaines résultats.,,,,,10,False,Testobooster Gold Edition - 180 Capsules | Real Pharm | T...,Testobooster Gold Edition: vitalité masculine et force optimales. Ingrédients naturels haute concentration. Discrétion garantie en Tunisie. Commandez!
L-Carnitine Green Tea + CLA - 90 Capsules,Real Pharm,gestion-poids,"L-Carnitine Green Tea + CLA de Real Pharm est le brûleur de graisse efficace pour accélérer votre perte de poids et révéler vos muscles. Combinant des ingrédients thermogéniques puissants, ce produit augmente votre métabolisme, contrôle votre appétit et optimise l'utilisation des graisses comme s...",gélule,90.0,45,Sans saveur (gélule),"L-Carnitine oxydation lipides mitochondries, Thé Vert 40% polyphénols thermogenèse, EGCG 7% énergie métabolisme, CLA limite stockage graisse, Triple action synergique complémentaire, Préserve masse musculaire sèche, Stimule métabolisme énergie, Antioxydants protection cellulaire","CONTIENT: Gélatine bovine. Traces: gluten soja lait. Non recommandé femmes enceintes/allaitantes, enfants < 18 ans, personnes troubles thyroïdiens graves.","Real Pharm qualité européenne, L-Carnitine Tartrate standard EFSA, Thé Vert polyphénols certifiés",2 gélules/jour (1 matin + 1 soir). Ne pas dépasser 2/jour. Prendre avec repas contenant lipides (absorption optimale). Cure minimum 8-12 semaines résultats visibles.,,,,,10,False,L-Carnitine Green Tea + CLA - 90 Capsules | Real Pharm | ...,L-Carnitine Green Tea + CLA: brûlez les graisses efficacement. Ingrédients naturels haute concentration. Expédition express Tunisie. premium. Achetez dès auj...
Isolate Pro - 2000g,GSN,proteines,"Isolate Pro 2kg de GSN est un complément de nutrition sportive de haute qualité conçu pour vous aider à atteindre vos objectifs fitness. Que vous soyez débutant ou athlète confirmé en Tunisie, ce produit vous apporte les nutriments essentiels pour performer et progresser. 🎯 Bénéfices Clés de Isol...",kilogramme,2.0,67,Vanille|Chocolat|Fraise|Cookies & Cream,1. Croissance musculaire (+15-20% synthèse protéique vs concentré étude IJSPP) 2. Récupération accélérée (-40% courbatures jour+1 BCAA L-Leucine) 3. Définition musculaire ultra-nette adiposité minimale 113cal 4. Assimilation rapide 60-90min window post-workout optimal 5. Satiété protéique réduction appétit 27g/dose 6. Performance force sans fatigue BCAA anti-catabolisme 7. Immunité intestinale glutamine barrière SIgA augmentée 8. Métabolisme basal +3-5% énergie synthèse protéine 9. Compatibilité digestive bonne tolérance sans lactose (isolat 99% lactose-free) 10. Résultats visibles 8-12 semaines adhérence plan nutrition entraînement,"Contient: Lait, Soja (lécithine) | Sans: Gluten","GMP Certified, GMO Free, Informed Choice®",1-3 doses quotidiennes. Dose standard 1x par jour post-workout immédiat 30g poudre. Intensité élevée 2-3 doses: dose petit-déjeuner 30g + post-workout 30g + soirée optionnel 30g avant sommeil (protéines lentes caséine préférée nuit). Dose maximale 90g/jour (3 doses) ne pas dépasser besoin physiologique. Ajustement poids: 1.6-2.2g protéines/kg poids corporel exemple 75kg athlète 120-165g/jour isolat pro combinaison alimentation solide répartition protéines.,,,,,10,False,Isolate Pro - 2000g | GSN | Whey Tunisie | Dodo Nutrition,Isolate Pro: protéines qualité supérieure pour athlètes. Absorption ultra-rapide post-entraînement. Disponible en Tunisie. garanti. Commander dès maintenant!
Multi Vitamins - 30 Capsules,GSN,sante-bien-etre,"Multi Vitamins 30 caps de GSN offre une formule complète de vitamines et minéraux essentiels pour soutenir votre santé globale, votre système immunitaire et optimiser vos performances sportives. Indispensable pour les athlètes qui s'entraînent intensément et ont des besoins nutritionnels accrus. ...",capsule,30.0,30,N/A (Gélules odorless),1. Performance énergétique (+12-18% capacité aérobie Zinc+Fe étude sportifs) 2. Synthèse protéine musculaire (+22% avec Zinc optimal vs carence étude Nutrition Reviews) 3. Récupération testostérone +15-20% Zinc dosage clinique 30mg 4. Immunité augmentée 40-50% réduction infections post-entraînement intensif Zinc+C|5. Métabolisme énergétique optimisé B-complex cofacteurs ATP Krebs cycle 6. Focus mental concentration dopamine sérotonine (B6 B12 acides aminés) 7. Antioxydant protection cellulaire inflammation post-effort radical libre (C+A) 8. Érythropoïèse endurance capacité VO2 fer cofacteur hémoglobine 9. Santé oculaire vision acuité Vitamine A adaption lumière 10. Longévité NAD+ sirtuine activation B3 niacine élongation télomères,"Peut contenir: Soja | Sans: Gluten, Sucre","GMP Certified, Vegan Friendly (gélules cellulose)","1 capsule quotidienne suffisante. Prendre 1 gélule/jour avec repas principal (petit-déjeuner idéal) absorption lipides-soluble A, liposolubilité A-C absorption optimale chylos intestinaux. Cure minimale 60 jours résultats tangibles système immunitaire énergie. Maintenance perpétuelle micro-nutriments non-synthétisables corps requis source externe quotidienne. Non-dépasser 1 cap/jour Zinc toxicité cumulative 100mg+ dose chronique (supplémentation courte 3-4 semaines acceptable).",,,,,10,False,Multi Vitamins - 30 Capsules | GSN | Vitamines Tunisie | ...,Multi Vitamins: énergie quotidienne et immunité renforcée. Nutriments essentiels dosage optimal. Livraison express en Tunisie. garanti. Commander dès maintenant
Creatine Monohydrate - 500g,Real Pharm,creatine,"Creatine Monohydrate de Real Pharm est le complément incontournable pour augmenter votre force, votre puissance et vos performances à l'entraînement. Utilisée par des millions d'athlètes dans le monde, la créatine est le supplément le plus étudié et prouvé scientifiquement pour améliorer les perf...",gramme,500.0,100,Sans saveur (100% pure unflavoured),"100% pure sans additifs, Pureté 99.9% certifiée, Micronisée absorption ultra-rapide, Augmente force 15-20%, Énergie ATP optimale, Récupération accélérée",Aucun allergène. Traces gluten possible atelier.,ISO-9001 GMP EFSA pureté 99.9% certifiée,5g dissolue 200ml eau 1x/jour. Phase charge: 20g/jour 7j puis 5g/jour.,,,,,10,False,Creatine Monohydrate - 500g | Real Pharm | Créatine Tunis...,Creatine Monohydrate: performances maximales et récupération optimale. Pureté 99.9% certifiée EFSA. Disponible en Tunisie. premium. Achetez dès aujourd'hui!
Creatine Monohydrate - 300g,Real Pharm,creatine,"Creatine Monohydrate de Real Pharm est le complément incontournable pour augmenter votre force, votre puissance et vos performances à l'entraînement. Utilisée par des millions d'athlètes dans le monde, la créatine est le supplément le plus étudié et prouvé scientifiquement pour améliorer les perf...",gramme,300.0,60,Sans saveur (Unflavoured 100% pur),"100% créatine monohydrate pure sans additif, Micronisée 200 Mesh dissolution ultra-rapide < 2min, Pureté 99.9% certifiée laboratoire garantie, Augmente force 15-20% ATP resynthèse validé étude, Absorption 90%+ accumulation musculaire progressive, Format 300g économique 60 doses découverte, Aucun fillers remplisseurs (100% pur), Real Pharm leader Tunisie réputation qualité","AUCUN allergène principal identifié (créatine synthétique pure). Traces possibles: GLUTEN (atelier partagé équipement). NON RECOMMANDÉ: femmes enceintes/allaitantes (données sécurité insuffisantes), enfants < 12 ans (croissance osseuse en cours), troubles rénaux graves sérieux (consultation médicale obligatoire).","Real Pharm ISO 9001 (système management qualité certification), GMP (Good Manufacturing Practice normes strictes), EFSA validation (Autorité Européenne Sécurité Alimentaire), Pureté 99.9% certifiée analyse laboratoire, BEST QUALITY label Real Pharm validation","5g (1 cuillère doseuse) dissous 200ml eau 1x/jour. Phase charge optionnelle: 20g/jour (4×5g espaces 4-5h) jours 1-7, puis 5g/jour maintenance. Cure minimum 4-6 semaines résultats notables, optimal 8-12 semaines force maximale, longue durée sécurisée 20+ ans études.",,,,,10,False,Creatine Monohydrate - 300g | Real Pharm | Créatine Tunis...,Creatine Monohydrate: force explosive et gains musculaires rapides. Monohydrate qualité pharmaceutique. Livraison Tunisie. garanti. Commander dès maintenant!
Creatine Monohydrate - 150g,Real Pharm,creatine,"Creatine Monohydrate de Real Pharm est le complément incontournable pour augmenter votre force, votre puissance et vos performances à l'entraînement. Utilisée par des millions d'athlètes dans le monde, la créatine est le supplément le plus étudié et prouvé scientifiquement pour améliorer les perf...",gramme,150.0,30,Sans saveur (Unflavoured 100% pur),"100% créatine pur, Format très petit découverte essai, Composition identique formats plus gros, Pureté 99.9% garantie, Prix entrée bas découverte",Aucun allergène. Traces gluten possible atelier.,Real Pharm ISO 9001 GMP EFSA Pureté 99.9% certifiée,"5g/jour, 30 doses = 30 jours cure minimum.",,,,,10,False,Creatine Monohydrate - 150g | Real Pharm | Créatine Tunis...,Creatine Monohydrate: augmentez force et performances de 15-20%. Créatine monohydrate pure micronisée. Stock limité en Tunisie. premium. Achetez dès aujourd'hui
Zinc Bisglycinate - 30 Capsules,GSN,sante-bien-etre,"Zinc Bisglycinate de GSN est un complément de nutrition sportive de haute qualité conçu pour vous aider à atteindre vos objectifs fitness. Que vous soyez débutant ou athlète confirmé en Tunisie, ce produit vous apporte les nutriments essentiels pour performer et progresser. 🎯 Bénéfices Clés de Zi...",gélule,30.0,30,Sans saveur (gélule inerte),"Immunité renforcée défense infection, Production testostérone libido masculine, Cognition mémoire concentration focus, Santé peau cheveux ongles, Reproduction fertilité soutenue, Cicatrisation accélérée","Aucun allergène principal (zinc minéral pur). Traces: gluten, soja. Non recommandé femmes enceintes (données limitées)","GSN Great Sport Nutrition marque tunisienne réputée, Zinc Bisglycinate chélaté certifié, ISO 9001 GMP FSSC 22000","1 gélule quotidien avec repas. Minimum 4 semaines résultats, optimal 8-12 semaines",,,,,10,False,Zinc Bisglycinate - 30 Capsules | GSN | Vitamines Tunisie...,Zinc Bisglycinate: vitalité et bien-être au quotidien. Vitamines et minéraux haute biodisponibilité. Disponible en Tunisie. premium. Achetez dès aujourd'hui!
